         ns       /testbench/x   /testbench/y   /testbench/z      
          delta                                                   
          0  +0              x              x              x 
      33310  +2             13              3             62 
      33370  +2             13              4             69 
      33430  +2             13              5             71 
      33490  +2             13              6             73 
      33550  +2             13              7             77 
      33610  +2             13              8             75 
      33670  +2             13              9             81 
      33730  +2             13             10             77 
      33790  +2             13             11             82 
      33850  +2             13             12             77 
      33910  +2             13             13             83 
      33970  +2             13             14             78 
      34030  +2             13             15             84 
      34090  +2             13             16             69 
      34150  +2             14              0             64 
      34210  +2             14              1             57 
      34270  +2             14              2             64 
      34330  +2             14              3             56 
      34390  +2             14              4             61 
      34450  +2             14              5             60 
      34510  +2             14              6             81 
      34570  +2             14              7             62 
      34630  +2             14              8             68 
      34690  +2             14              9             64 
      34750  +2             14             10             91 
      34810  +2             14             11             65 
      34870  +2             14             12             71 
      34930  +2             14             13             66 
      34990  +2             14             14             94 
      35050  +2             14             15             64 
      35110  +2             14             16             64 
      35170  +2             15              0             54 
      35230  +2             15              1             50 
      35290  +2             15              2             49 
      35350  +2             15              3             62 
      35410  +2             15              4             54 
      35470  +2             15              5             71 
      35530  +2             15              6             58 
      35590  +2             15              7             77 
      35650  +2             15              8             60 
      35710  +2             15              9             81 
      35770  +2             15             10             61 
      35830  +2             15             11             82 
      35890  +2             15             12             62 
      35950  +2             15             13             83 
      36010  +2             15             14             62 
      36070  +2             15             15             84 
      36130  +2             15             16             54 
      36190  +2             16              0             20 
      36250  +2             16              1             43 
      36310  +2             16              2             54 
      36370  +2             16              3             56 
      36430  +2             16              4             70 
      36490  +2             16              5             60 
      36550  +2             16              6             72 
      36610  +2             16              7             65 
      36670  +2             16              8             90 
      36730  +2             16              9             66 
      36790  +2             16             10             77 
      36850  +2             16             11             66 
      36910  +2             16             12             90 
      36970  +2             16             13             67 
      37030  +2             16             14             79 
      37090  +2             16             15              0 
      37150  +2             16             16            100 
