,, , ,  /t, /t, /t,     
          delta ,    ,   ,   ,     
          0,  +0,  x,  x,   x 
      12930,  +2, 10,  4,  98 
      12990,  +2, 10,  5,  99 
      13050,  +2, 10,  6, 102 
      13110,  +2, 10,  7, 115 
      13170,  +2, 10,  8, 126 
      13230,  +2, 10,  9, 133 
      13290,  +2, 10, 10, 138 
      13350,  +2, 10, 11, 139 
      13410,  +2, 10, 12, 145 
      13470,  +2, 10, 13, 143 
      13530,  +2, 10, 14, 138 
      13590,  +2, 10, 15, 135 
      13650,  +2, 10, 16, 129 
      13710,  +2, 11,  0, 139 
      13770,  +2, 11,  1, 120 
      13830,  +2, 11,  2, 117 
      13890,  +2, 11,  3, 119 
      13950,  +2, 11,  4, 122 
      14010,  +2, 11,  5, 123 
      14070,  +2, 11,  6, 127 
      14130,  +2, 11,  7, 138 
      14190,  +2, 11,  8, 156 
      14250,  +2, 11,  9, 162 
      14310,  +2, 11, 10, 169 
      14370,  +2, 11, 11, 181 
      14430,  +2, 11, 12, 193 
      14490,  +2, 11, 13, 187 
      14550,  +2, 11, 14, 183 
      14610,  +2, 11, 15, 184 
      14670,  +2, 11, 16, 172 
      14730,  +2, 12,  0, 106 
      14790,  +2, 12,  1, 112 
      14850,  +2, 12,  2, 113 
      14910,  +2, 12,  3, 126 
      14970,  +2, 12,  4, 145 
      15030,  +2, 12,  5, 135 
      15090,  +2, 12,  6, 137 
      15150,  +2, 12,  7, 153 
      15210,  +2, 12,  8, 186 
      15270,  +2, 12,  9, 177 
      15330,  +2, 12, 10, 194 
      15390,  +2, 12, 11, 204 
      15450,  +2, 12, 12, 247 
      15510,  +2, 12, 13, 217 
      15570,  +2, 12, 14, 220 
      15630,  +2, 12, 15, 213 
      15690,  +2, 12, 16, 243 
      15750,  +2, 13,  0, 132 
      15810,  +2, 13,  1, 105 
      15870,  +2, 13,  2, 107 
      15930,  +2, 13,  3, 115 
      15990,  +2, 13,  4, 126 
      16050,  +2, 13,  5, 128 
      16110,  +2, 13,  6, 133 
      16170,  +2, 13,  7, 142 
      16230,  +2, 13,  8, 156 
      16290,  +2, 13,  9, 168 
      16350,  +2, 13, 10, 179 
      16410,  +2, 13, 11, 196 
      16470,  +2, 13, 12, 210 
      16530,  +2, 13, 13, 211 
      16590,  +2, 13, 14, 207 
      16650,  +2, 13, 15, 206 
      16710,  +2, 13, 16, 184 
      16770,  +2, 14,  0, 109 
      16830,  +2, 14,  1,  97 
      16890,  +2, 14,  2,  85 
      16950,  +2, 14,  3,  99 
      17010,  +2, 14,  4, 110 
      17070,  +2, 14,  5, 111 
      17130,  +2, 14,  6, 116 
      17190,  +2, 14,  7, 122 
      17250,  +2, 14,  8, 130 
      17310,  +2, 14,  9, 147 
      17370,  +2, 14, 10, 160 
      17430,  +2, 14, 11, 172 
      17490,  +2, 14, 12, 184 
      17550,  +2, 14, 13, 188 
      17610,  +2, 14, 14, 194 
      17670,  +2, 14, 15, 182 
