         ns       /testbench/out    
          delta                     
          0  +0                x 
         10  +2                0 
       2490  +2            32487 
       4890  +2            31975 
       7290  +2            31283 
       9690  +2            30483 
      12090  +2            29641 
      14490  +2            28805 
      16890  +2            28001 
      19290  +2            27232 
      21690  +2            26486 
      24090  +2            25744 
      26490  +2            24990 
      28890  +2            24219 
      31290  +2            23433 
      33690  +2            22640 
      36090  +2            21851 
      38490  +2            21072 
      40890  +2            20304 
      43290  +2            19543 
      45690  +2            18781 
      48090  +2            18014 
      50490  +2            17240 
      52890  +2            16459 
      55290  +2            15677 
      57690  +2            14898 
      60090  +2            14124 
      62490  +2            13355 
      64890  +2            12587 
      67290  +2            11818 
      69690  +2            11045 
      72090  +2            10267 
      74490  +2             9487 
      76890  +2             8708 
      79290  +2             7932 
      81690  +2             7160 
      84090  +2             6391 
      86490  +2             5623 
      88890  +2             4854 
      91290  +2             4082 
      93690  +2             3307 
      96090  +2             2529 
      98490  +2             1751 
     100890  +2              975 
     103290  +2              201 
     105690  +2             -570 
     108090  +2            -1340 
     110490  +2            -2110 
     112890  +2            -2881 
     115290  +2            -3654 
     117690  +2            -4428 
     120090  +2            -5202 
     122490  +2            -5976 
     124890  +2            -6749 
     127290  +2            -7522 
     129690  +2            -8296 
     132090  +2            -9072 
     134490  +2            -9851 
     136890  +2           -10631 
     139290  +2           -11410 
     141690  +2           -12187 
     144090  +2           -12960 
     146490  +2           -13730 
     148890  +2           -14498 
     151290  +2           -15266 
     153690  +2           -16036 
     156090  +2           -16808 
     158490  +2           -17581 
     160890  +2           -18356 
     163290  +2           -19131 
     165690  +2           -19905 
     168090  +2           -20677 
     170490  +2           -21447 
     172890  +2           -22216 
     175290  +2           -22983 
     177690  +2           -23747 
     180090  +2           -24507 
     182490  +2           -25260 
     184890  +2           -26005 
     187290  +2           -26739 
     189690  +2           -27459 
     192090  +2           -28162 
     194490  +2           -28841 
     196890  +2           -29487 
     199290  +2           -30091 
     201690  +2           -30640 
     204090  +2           -31117 
     206490  +2           -31506 
     208890  +2           -31791 
     211290  +2           -31955 
     213690  +2           -31982 
     216090  +2           -31857 
     218490  +2           -31570 
     220890  +2           -31117 
     223290  +2           -30502 
     225690  +2           -29737 
     228090  +2           -28842 
     230490  +2           -27849 
     232890  +2           -26795 
     235290  +2           -25721 
     237690  +2           -24668 
     240090  +2           -23672 
     242490  +2           -22759 
     244890  +2           -21943 
     247290  +2           -21224 
     249690  +2           -20587 
     252090  +2           -20008 
